channelName,originalUrl,subscribersCount,viewsCount,videosCount,channelCategories,definedCategories,clusterName,inferredClusterName
Тьоха,https://www.youtube.com/channel/UCjxIboac4Ei4xH03I9QZXIQ,313000,31391235,180,"Гумор,Персональні","Culture,Society,Media Critique,TikTok Analysis,Psychology,Humor",Загадкові злочини та розслідування,Загадкові злочини та розслідування
BLOGMAYSTER,https://www.youtube.com/channel/UCwKeZkSBpbW--1MbjujJLeg,491000,65611417,234,"Вибір редакції,Трукрайм","Crime,Society,Entertainment,True Crime,Documentary,Cultural Commentary",Загадкові злочини та розслідування,
КОВАЛЬСЬКИЙ,https://www.youtube.com/channel/UCtJNd1T9QDNGhPWe-tgR0DQ,247000,23079135,81,"Вибір редакції,Трукрайм","Crime,Society,True Crime,Serial Killers,Murder Investigations,Criminal Psychology",Загадкові злочини та розслідування,Ігрові баталії та огляди
Історії На Hіч,https://www.youtube.com/channel/UCyifvEFDTuE_500nqnrYuxA,155000,10456029,345,Трукрайм,"Society,Crime,Pop Culture,True Crime,Social Issues,Mental Health",Загадкові злочини та розслідування,
Орест Мурій,https://www.youtube.com/channel/UCwm6hd9PbRyJiHRHQ-l1pPw,127000,16262492,303,"Вибір редакції,Історія","Culture,Society,Personal Development,Ukrainian History,Spirituality,Crime and Mystery",Загадкові злочини та розслідування,Загадкові злочини та розслідування
Хастур: Темні Історії,https://www.youtube.com/channel/UChB7o6LItfebMFOTkn2VCvA,57300,7164904,279,Трукрайм,"Culture,Society,Crime Stories,Music Critique,Domestic Issues,Health and Illness",Загадкові злочини та розслідування,
Погляд Феміди | Тру крайм українською,https://www.youtube.com/channel/UCR0nkFpo7iWjWfurzdZjoRw,46800,8278504,167,Трукрайм,"Culture,Society,Relationships,Workplace Dynamics,True Crime,Vengeance Stories,Digital Relationships",Загадкові злочини та розслідування,
Канал Криміналіста,https://www.youtube.com/channel/UC26OfzxQLmoNcisI3UuQiJw,40200,4314294,93,Трукрайм,"Culture,Society,True Crime,Ukrainian History,Mental Health,Social Media Trends",Загадкові злочини та розслідування,
JANE DOE | Кримінальні історії українською,https://www.youtube.com/channel/UCXuA5D4zlT1o33p6RNnlfCQ,30100,3644469,84,Трукрайм,"Society,Crime,True Crime,Personal Stories,Criminal Psychology,Legal Cases",Загадкові злочини та розслідування,
Опівніч | ТруКрайм,https://www.youtube.com/channel/UClIOyhaQ--jeMjDVmhpRtHQ,29200,2119593,113,Трукрайм,"Culture,Society,History,True Crime,Urban Legends,Mystery",Загадкові злочини та розслідування,
Sitarka UA | криміналістика та містика,https://www.youtube.com/channel/UC-3XdvIAnj6YnmReJa_J6-Q,33200,2888427,61,Трукрайм,"Crime,Society,True Crime,Murder Cases,Abduction Stories,Criminal Psychology",Загадкові злочини та розслідування,
Безсоння,https://www.youtube.com/channel/UCC6-e8LDAm5Cl7DLC-3N0ig,21300,799207,66,Трукрайм,"Crime,History,Culture,True Crime,Serial Killers,Historical Crimes,Occult Rituals,Cannibalism",Загадкові злочини та розслідування,
БАРКОВА КРАЙМ,https://www.youtube.com/channel/UC3w0pgTgBkSMxOAJ54SuJWA,28100,1664150,33,Трукрайм,"Crime,History,Society,True Crime,Murder Mysteries,Serial Killers",Загадкові злочини та розслідування,
ЗЛОЧИН | тру крайм українською,https://www.youtube.com/channel/UCYpbKugI0WReup0KQj2cBlA,20300,2300596,110,Трукрайм,"Culture,Society,True Crime,Criminal Psychology,Murder Mysteries,Scandals",Загадкові злочини та розслідування,
Доки Дока,https://www.youtube.com/channel/UC4dw6og5i72Sk9vpzApaMfQ,22500,3181228,141,Трукрайм,"Crime,Society,True Crime,Murder Mysteries,Criminal Cases,Unsolved Cases",Загадкові злочини та розслідування,
ХОВРАХ,https://www.youtube.com/channel/UCu4F1WdB4weIxA3ZISUZl4A,55900,4755042,32,"Про все,Реддіт","Culture,Society,Mystery,Media Critique,UFOs,True Crime,History,Current Events",Загадкові злочини та розслідування,Наука та природа
Морок. Історія в стилі ТруКрайм,https://www.youtube.com/channel/UCt1FivLy73qZSmlVD1jssTw,26900,1720300,46,"Вибір редакції,Історія","Society,Culture,Crime,Religion,Cults,Scams,Gang Culture,Philosophy",Загадкові злочини та розслідування,
Sitarka UA | тру крайм українською,https://www.youtube.com/channel/UC-3XdvIAnj6YnmReJa_J6-Q,34000,3080031,66,Трукрайм,"Crime,Society,Psychology,Culture,Daily Life",Загадкові злочини та розслідування,
