channelName,originalUrl,subscribersCount,viewsCount,videosCount,channelCategories,definedCategories,clusterName,inferredClusterName
ЛЕДІ БАГ І СУПЕР-КІТ – УКРАЇНА,https://www.youtube.com/channel/UCpUAPSkab-mtRpcur-gpIog,220000,136762287,746,Для дітей,"Entertainment,Animation,Children's Shows,Miraculous Ladybug,Chibi Series,Season Compilations",Аніме та Попкультура,Аніме та Попкультура
Кефірний,https://www.youtube.com/channel/UCuyPZtN2sUgialtxiIYcVIQ,67800,3170282,84,"Аніме,Вибір редакції,Кіно,Огляди кіно","Philosophy,Mental Health,Anime,Cultural Critique,Sex Education,Art",Аніме та Попкультура,
Verum†,https://www.youtube.com/user/MegaJeFan/,40800,1332265,64,"Аніме,Вибір редакції,Огляди кіно","Entertainment,Animation,Anime,Anime Reviews,Fantasy,Fictional Characters",Аніме та Попкультура,
MangUA,https://www.youtube.com/channel/UCOzFEIWoWVHOEyvnKwKXMbw,29200,1953826,262,"Аніме,Книги,Комікси,Подкасти","Culture,Entertainment,Animation,Anime,Anime Awards,Anime History,Ukrainian Culture",Аніме та Попкультура,
Кайвай,https://www.youtube.com/channel/UCqK12gkJAX6cxJzaw4krmmw,28100,2413761,29,Аніме,"Entertainment,Animation,Cartoons,SpongeBob SquarePants,Oggy and the Cockroaches,Nostalgia",Аніме та Попкультура,Аніме та Попкультура
